A, corazones, rojo
2, corazones, rojo
3, corazones, rojo
4, corazones, rojo
5, corazones, rojo
6, corazones, rojo
7, corazones, rojo
8, corazones, rojo
9, corazones, rojo
10, corazones, rojo
J, corazones, rojo
Q, corazones, rojo
K, corazones, rojo

A, diamantes, rojo
2, diamantes, rojo
3, diamantes, rojo
4, diamantes, rojo
5, diamantes, rojo
6, diamantes, rojo
7, diamantes, rojo
8, diamantes, rojo
9, diamantes, rojo
10, diamantes, rojo
J, diamantes, rojo
Q, diamantes, rojo
K, diamantes, rojo

A, espadas, negro
2, diamantes, rojo
3, diamantes, rojo
4, diamantes, rojo
5, diamantes, rojo
6, diamantes, rojo
7, diamantes, rojo
8, diamantes, rojo
9, diamantes, rojo
10, diamantes, rojo
J, diamantes, rojo
Q, diamantes, rojo
K, diamantes, rojo

A, treboles, negros
2, treboles, negros
3, treboles, negros
4, treboles, negros
5, treboles, negros
6, treboles, negros
7, treboles, negros
8, treboles, negros
9, treboles, negros
10, treboles, negros
J, treboles, negros
Q, treboles, negros
K, treboles, negros
